SWR,Manhole From,Manhole To,Start GL,Stop GL,Length Swr,dia,Slope,Start IL ,Stop IL,Manhole From GL,Manhole From IL,Manhole Distance
SWR-1,A13-03A-16-33,A13-03A-16-32,4.19,4.33,55.8,200,400,2.99,2.85,4.19,2.99,0
SWR-2,A13-03A-16-32,A13-03A-16-31,4.33,4.4,30.7,200,400,2.85,2.77,4.33,2.85,55.8
SWR-3,A13-03A-16-31,A13-03A-16-30,4.4,5.8,52.6,200,400,2.77,2.65,4.4,2.77,30.7
SWR-4,A13-03A-16-30,A13-03A-16-29,5.8,4.98,23.8,200,500,2.65,2.54,5.8,2.65,52.6
SWR-5,A13-03A-16-29,A13-03A-16-28,4.98,4.57,35.3,200,500,2.54,2.43,4.98,2.54,23.8
,A13-03A-16-28,,,,0,,,,,4.57,2.43,35.3
