SWR,Manhole From,Manhole To,Start GL,Stop GL,Length Swr,dia,Slope,Start IL ,Stop IL,Manhole From GL,Manhole From IL,Manhole Distance,Chainage,Manhole To IL
SWR-1607,B01,B01A,4.7,3.75,-151.5,1500,2000,-8.96,-9.04,4.7,-8.96,0,0,-9.04
SWR-1608,B01A,A12,3.75,4.66,-131.7,1500,2000,-9.04,-9.1,3.75,-9.04,151.5,151.5,-9.1
