SWR,Manhole From,Manhole To,Start GL,Stop GL,Length Swr,dia,Slope,Start IL ,Stop IL,Manhole From GL,Manhole From IL,Manhole Distance,chainage,Manhole To IL
SWR-736,A13-16A-04,A13-16A-03,8.8,8.51,43,600,800,6.61,6.56,8.8,6.38,0,0,6.25
SWR-737,A13-16A-03,A13-16A-02,8.51,8.55,73.6,600,800,6.25,6.15,8.51,6.25,43,43,6.15
SWR-739,A13-16A-02,A13-16A-01,8.55,8.35,68.6,600,800,6.15,6.07,8.55,6.15,73.6,116.6,6.07
SWR-740,A13-16A-01,A13-16-03,8.35,8.28,69.6,600,650,6.07,5.96,8.35,6.07,68.6,185.2,4.19
SWR-741,A13-16-03,A13-16-02,8.28,7.96,78.2,600,632,4.19,4.06,8.28,4.19,69.6,254.8,3.52
